FIPS,AVLN_AFREQ,AVLN_RISKR,CFLD_AFREQ,CFLD_RISKR,CWAV_AFREQ,CWAV_RISKR,DRGT_AFREQ,DRGT_RISKR,ERQK_AFREQ,ERQK_RISKR,HAIL_AFREQ,HAIL_RISKR,HWAV_AFREQ,HWAV_RISKR,HRCN_AFREQ,HRCN_RISKR,ISTM_AFREQ,ISTM_RISKR,LNDS_AFREQ,LNDS_RISKR,LTNG_AFREQ,LTNG_RISKR,RFLD_AFREQ,RFLD_RISKR,SWND_AFREQ,SWND_RISKR,TRND_AFREQ,TRND_RISKR,TSUN_AFREQ,TSUN_RISKR,VLCN_AFREQ,VLCN_RISKR,WFIR_AFREQ,WFIR_RISKR,WNTW_AFREQ,WNTW_RISKR,ST,STATE,ST_ABBR,STCNTY,COUNTY,LOCATION,AREA_SQMI,E_TOTPOP,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE
01001,,Not Applicable,,Not Applicable,0.0,No Rating,25.96977431793574,Relatively Low,0.000431448442327,Very Low,2.806764148582806,Relatively Low,0.371517027863777,Relatively Moderate,0.080450364101552,Relatively Low,0.402025018973763,Very Low,0.01,Relatively Low,78.9380515918745,Relatively Low,1.083333333333333,Relatively Low,1.297309811823116,Relatively Low,0.480184123389991,Relatively Moderate,,Not Applicable,,Not Applicable,3.474777467e-05,Very Low,0.433436532507739,Very Low,1.0,Alabama,AL,1001.0,Autauga County,"Autauga County, Alabama",594.454786355022,58761.0,20.2,2.8,19.7,9.6,7.4,15.6,23.4,16.4,5.6,0.4,27.4,3.9,15.6,1.4,4.0,0.9,10.9,19.6,3.2,1.1,0.1,0.0,3.3,0.2
01003,,Not Applicable,3.684141915594878,Relatively Low,0.0,No Rating,12.353442443899851,Relatively Moderate,0.000337735595273,Relatively Low,1.529255708420378,Relatively Low,0.939761471298025,Relatively Moderate,0.248233295865901,Relatively High,0.191995559614628,Relatively Low,0.010560307797072,Relatively Low,142.23187541788187,Very High,2.708333333333333,Relatively Moderate,1.839032434863535,Relatively Low,0.95313993052026,Relatively Moderate,,Insufficient Data,,Not Applicable,0.002228838373062,Relatively Moderate,0.182758511948595,Relatively Low,1.0,Alabama,AL,1003.0,Baldwin County,"Baldwin County, Alabama",1589.861816637086,233420.0,18.3,3.4,23.2,8.4,9.3,21.2,21.2,13.9,4.2,0.8,17.7,16.6,10.2,1.9,2.3,1.5,10.9,8.3,4.8,0.9,0.2,0.0,3.1,0.4
01005,,Not Applicable,,Not Applicable,0.0,No Rating,43.9569529227585,Relatively Low,0.000227048426935,Very Low,1.908785007709048,Very Low,0.371517027863777,Relatively Low,0.116398340310341,Relatively Low,0.393288465748223,Very Low,0.01,Relatively Low,74.65509191026041,Relatively Moderate,0.25,Very Low,1.456484835267519,Relatively Low,0.739018402814856,Relatively Moderate,,Not Applicable,,Not Applicable,3.8252089048e-05,Very Low,0.185758513931889,Very Low,1.0,Alabama,AL,1005.0,Barbour County,"Barbour County, Alabama",885.007618621402,24877.0,37.7,5.8,25.1,23.5,10.7,19.8,20.7,18.1,11.3,2.0,55.4,1.4,29.2,3.8,11.7,12.0,31.8,46.9,4.8,0.5,0.3,0.0,1.8,1.2
01007,,Not Applicable,,Not Applicable,0.0,No Rating,28.89450124044227,Very Low,0.000790238388689,Very Low,3.447867669226194,Very Low,0.371517027863778,Relatively Low,0.066723939113385,Very Low,0.413093785697131,Relatively Low,0.01,Relatively Low,84.58902944389331,Relatively Low,0.666666666666667,Very Low,1.457584970525106,Relatively Low,0.586159594228586,Relatively Moderate,,Not Applicable,,Not Applicable,4.0018023403e-05,Very Low,0.743034055727554,Very Low,1.0,Alabama,AL,1007.0,Bibb County,"Bibb County, Alabama",622.469286466726,22251.0,29.0,8.7,23.2,21.1,8.4,16.8,21.2,19.6,7.2,0.3,25.8,2.7,30.6,1.3,7.5,6.4,20.2,20.7,2.9,0.3,0.1,0.0,1.7,0.1
01009,,Not Applicable,,Not Applicable,0.0,No Rating,28.152597620445896,Relatively Low,0.000816915976898,Relatively Low,5.101344031154278,Very Low,0.371517027863777,Relatively Moderate,0.039238212284882,Very Low,0.50966519498561,Relatively Moderate,0.01,Relatively Low,88.7776532703633,Relatively Moderate,1.166666666666667,Very Low,4.28676331296177,Relatively Moderate,0.710331710557074,Relatively Moderate,,Not Applicable,,Not Applicable,3.5074085197e-05,Very Low,0.86687306501548,Very Low,1.0,Alabama,AL,1009.0,Blount County,"Blount County, Alabama",644.890376325486,59077.0,22.9,6.0,19.4,18.2,10.2,18.3,23.0,17.0,5.3,2.2,14.3,0.9,23.9,2.3,4.8,1.0,16.9,1.2,9.7,0.2,0.1,0.2,2.8,0.1
01011,,Not Applicable,,Not Applicable,0.0,No Rating,42.70886464281379,Relatively Moderate,0.000402969066617,Very Low,2.344829587278913,Very Low,0.371517027863777,Relatively Low,0.123757622199751,Relatively Low,0.493817261739519,Very Low,0.01,Relatively Low,72.06221941904893,Relatively Low,0.333333333333333,Very Low,1.514519428563239,Very Low,0.557943494664403,Relatively Low,,Not Applicable,,Not Applicable,7.3634561394e-05,Very Low,0.247678018575852,Very Low,1.0,Alabama,AL,1011.0,Bullock County,"Bullock County, Alabama",622.814753161736,10328.0,47.4,3.7,23.3,26.6,12.2,16.6,21.1,11.2,16.3,1.8,79.4,4.1,42.4,0.8,10.4,7.1,38.4,68.9,8.8,0.4,0.0,0.0,1.3,0.0
01013,,Not Applicable,,Not Applicable,0.0,No Rating,20.661560722575707,Relatively Low,0.000370852972472,Very Low,1.744002919201182,Very Low,0.495356037151703,Relatively Low,0.124739961407022,Relatively Low,0.229932519272057,Very Low,0.01,Relatively Low,85.68409641530718,Relatively Moderate,0.5,Very Low,1.68229820921015,Relatively Low,0.579694456731988,Relatively Low,,Not Applicable,,Not Applicable,3.3767592262e-05,Very Low,0.185758513931889,Very Low,1.0,Alabama,AL,1013.0,Butler County,"Butler County, Alabama",776.838207787896,18981.0,33.8,6.8,22.5,12.4,11.0,21.2,22.3,16.2,7.2,0.1,49.1,0.8,21.5,0.6,5.0,1.8,21.4,44.6,1.7,1.3,0.4,0.0,1.2,0.0
01015,,Not Applicable,,Not Applicable,0.0,No Rating,29.342027994481526,Very Low,0.000740531371529,Relatively Low,5.168433559626235,Relatively Low,0.309597523219814,Relatively Moderate,0.040664205625402,Relatively Low,0.280710705502845,Very Low,0.010562597253346,Relatively Moderate,88.21157602060575,Relatively Moderate,1.0,Relatively Low,2.784027000631248,Relatively Moderate,0.497337900192799,Relatively High,,Not Applicable,,Not Applicable,3.4484935445e-05,Very Low,1.052631578947368,Relatively Low,1.0,Alabama,AL,1015.0,Calhoun County,"Calhoun County, Alabama",605.889936470352,116162.0,28.7,6.9,23.0,14.9,10.8,17.9,21.2,20.2,6.9,0.5,29.5,3.7,14.6,1.7,5.6,3.2,16.6,21.7,4.1,0.6,0.1,0.2,2.5,0.4
01017,,Not Applicable,,Not Applicable,0.0,No Rating,57.93558022532257,Very Low,0.000447361262962,Very Low,3.823913074806812,Very Low,0.371517027863777,Relatively Moderate,0.088928855346052,Relatively Low,0.515826674282454,Relatively Low,0.01,Relatively Low,61.693305344001885,Relatively Low,0.75,Relatively Low,1.182361437382956,Relatively Low,0.436672652794168,Relatively Low,,Not Applicable,,Not Applicable,0.000135346438668,Very Low,0.557275541795666,Very Low,1.0,Alabama,AL,1017.0,Chambers County,"Chambers County, Alabama",596.55406501414,34612.0,28.8,3.6,23.1,16.5,10.8,19.7,20.8,20.8,5.6,0.3,45.7,7.2,13.6,5.3,7.0,1.8,21.4,40.8,3.3,0.2,0.0,0.0,1.3,0.2
01019,,Not Applicable,,Not Applicable,0.0,No Rating,30.629820333153248,Relatively Low,0.001097698867015,Relatively Low,5.347451887250933,Very Low,0.309597523219814,Relatively Low,0.032073144550197,Very Low,0.421405615552867,Relatively Low,0.01,Relatively Low,77.24664094865642,Relatively Low,0.791666666666667,Relatively Low,2.946140794578826,Relatively Low,0.442734834701754,Relatively Moderate,,Not Applicable,,Not Applicable,3.0598175924e-05,Very Low,0.928792569659443,Very Low,1.0,Alabama,AL,1019.0,Cherokee County,"Cherokee County, Alabama",553.5238774267,25069.0,25.6,4.0,19.9,18.1,10.2,23.2,18.9,20.3,4.6,0.9,9.3,1.2,26.9,0.7,3.2,1.2,21.8,4.0,1.9,0.1,0.5,0.0,2.8,0.1
